DamID,Lepto,BrucellaLFA,BrucellaRBG,GirthDam,CSDam,SL,East,North,Elevat,CalfSex,DAge,DCalving,TDFarm,DAge2
DM020520124,0,0,0,130,4.5,5,34.27926,0.54801,1256,1,10,3,12,10
DM020520125,0,0,0,140,6.5,5,34.27274,0.55583,1200,2,-888,2,36,10
DM020520126,1,0,0,130,5,5,34.28555,0.54172,1235,2,3,2,12,3
DM020520127,0,0,0,147,7,5,34.27731,0.55333,1266,2,6,2,48,6
DM020520128,0,0,0,139,6,5,34.29838,0.54294,1236,1,4,1,12,4
DM020520129,0,0,0,143,6.5,5,34.28972,0.54747,1235,2,11,3,12,11
DM020520130,0,0,0,145,6.5,5,34.27351,0.56142,1283,2,-888,3,-888,9
DM020520131,0,0,0,118,4.5,5,34.27746,0.54468,1254,2,-888,1,60,8
DM020520132,0,0,0,132,6.5,5,34.26993,0.5406,1254,1,-888,1.5,-888,6
DM020520133,0,0,0,135,4.5,5,34.27653,0.55643,1246,2,6,4,12,6
DM020520134,0,0,0,146.5,6,5,34.27283,0.55996,1255,1,-888,2,24,11
DM020520135,0,0,0,144.5,6,5,34.27241,0.54217,1231,1,-888,2,24,6
DM020520136,0,0,0,138.5,6.5,5,34.26965,0.55671,1284,2,-888,1,-888,8
DM020520138,0,0,0,126.5,4,5,34.30069,0.53303,1233,1,-888,1,25,6
DM020520139,0,0,0,137,5,5,34.27875,0.55622,1270,2,-888,-888,36,4
DM020520140,0,0,0,145.5,6.5,5,34.26975,0.5558,1283,1,6,3,48,6
DM020520141,0,0,0,140,6,5,34.28302,0.54851,1252,1,4,1,36,4
DM020520142,0,0,0,134,5.5,5,34.2785,0.56315,1259,2,-888,3,-888,9
DM020520143,0,0,0,126,4.5,5,34.27113,0.55572,1284,2,-888,2,48,11
DM020520144,0,0,0,144,7.5,5,34.27693,0.5507,1265,2,-888,2,36,12
DM020520145,0,0,0,126,3.5,5,34.26756,0.54617,1271,1,-888,2,15,11
DM020520146,0,0,0,134.5,3.5,5,34.27718,0.55563,1277,1,-888,1,36,10
DM020520147,0,0,0,144,6,5,34.28312,0.54255,1240,1,-888,2,-888,10
DM020520148,1,0,0,137.5,5.5,5,34.26285,0.54355,1269,1,-888,2,36,6
DM020620151,0,0,0,141,6,6,34.2113,0.54044,1446,1,6,3,72,6
DM020620152,0,0,0,150,6.5,6,34.21461,0.54792,1390,1,4,2,36,4
DM020620153,0,0,0,150,8,6,34.21342,0.54661,1406,2,-888,2,60,9
DM020620155,0,0,0,140,6,6,34.21605,0.54634,1401,2,7,4,60,7
DM020620156,0,0,0,132,6,6,34.20965,0.54132,1422,1,7,4,60,7
DM020620157,0,0,0,122,4,6,34.20945,0.54462,1389,2,3,1,36,3
DM020620158,0,0,0,137,4,6,34.20561,0.54259,1332,1,3.5,2,12,3.5
DM020620159,0,0,0,146,7,6,34.20888,0.55412,1278,2,9,3,90,9
DM020620160,0,0,0,130,5,6,34.20908,0.54876,1390,2,5,2,36,5
DM020620161,0,0,0,141,7,6,34.21768,0.53459,1314,2,5,1,48,5
DM020620162,1,0,0,147.5,6.5,6,34.22362,0.54549,1294,1,12,6,12,12
DM020620163,0,0,0,137,6,6,34.21801,0.5553,1209,1,-888,1,36,10
DM020620164,0,0,0,140,5.5,6,34.20967,0.54425,1390,2,-888,2,48,6
DM020620165,0,0,0,152,7,6,34.21165,0.54638,1409,1,-888,4,84,4
DM020620166,0,0,0,146,7,6,34.21277,0.53819,1398,2,7,3,84,7
DM020620167,0,0,0,137,6,6,34.21339,0.55891,1184,1,-888,4,60,10
DM020620168,0,1,0,135.5,7.5,6,34.21938,0.54582,1396,1,-888,1,20,11
DM020620169,0,0,0,145,6.5,6,34.21238,0.55411,1302,2,-888,5,96,11
DM020620170,0,0,0,136.5,6,6,34.21214,0.56039,1184,2,-888,2,48,5
DM020620171,0,0,0,143.5,8,6,34.21202,0.54911,1390,1,-888,3,96,4
DM020620172,0,0,0,144,6,6,34.21226,0.54717,1403,2,-888,4,96,12
DM020620173,0,0,0,150,6,6,34.21464,0.54796,1399,1,-888,1,-888,8
DM020620174,0,0,0,135,6.5,6,34.22415,0.54808,1238,1,-888,2,36,5
DM020620175,0,0,0,160,7.5,6,34.21134,0.537,1400,2,12,3,96,12
DM020620176,0,0,1,140,6,6,34.21239,0.54171,1425,1,-888,2,48,12
DM020620177,0,0,0,158,6.5,6,34.21473,0.55389,1288,2,-888,3,84,10
DM020620178,0,0,0,140,5.5,6,34.21237,0.5503,1382,2,-888,3,41,11
DM020620179,0,0,0,144.5,5,6,34.21212,0.55776,1160,1,4,1,48,4
DM030720181,0,0,0,228,6.5,7,34.17165,0.48131,1198,2,3,1,12,3
DM030720182,0,0,0,131,5,7,34.17165,0.4986,1202,1,-888,5,12,12
DM030720183,0,0,0,127.5,5,7,34.17379,0.47504,1202,2,5,1,12,5
DM030720184,0,0,0,139,5,7,34.18138,0.46939,1220,1,10,7,12,10
DM030720185,0,0,0,143,6,7,34.17282,0.48312,1192,1,6,2,12,6
DM030720186,0,0,0,128,4,7,34.17508,0.49526,1185,1,10,5,12,10
DM030720187,0,0,0,27,5,7,34.17664,0.46416,1208,1,5,2,60,5
DM030720188,0,0,0,136,6,7,34.17581,0.47461,1211,1,10,3,12,10
DM030720189,0,0,0,128,5,7,34.19514,0.47613,1218,2,4.5,1,12,4.5
DM030720190,0,0,0,138,6,7,34.16952,0.49906,1171,2,-888,4,16,9
DM030720191,0,0,0,132,5,7,34.17756,0.48019,1194,1,4,3,48,4
DM030720192,0,0,0,143,7,7,34.17386,0.49052,1187,1,11,5,132,11
DM030720193,0,0,0,139.5,6,7,34.1722,0.4703,1205,1,3.5,1,36,3.5
DM030720194,0,0,0,133.5,5.5,7,34.1739,0.48843,1190,1,-888,2,-888,12
DM030720195,0,0,0,141,6,7,34.17953,0.49541,1178,2,-888,2,48,6
DM030720196,0,0,0,121.5,4.5,7,34.18232,0.47644,1210,1,-888,2,36,11
DM030720197,0,0,0,137,6.5,7,34.17811,0.49252,1182,1,-888,4,-888,10
DM030720198,0,0,0,143.5,5,7,34.17598,0.46854,1206,2,4,1,48,4
DM030720199,0,0,0,125.5,5.5,7,34.18732,0.47864,1317,2,-888,1,-888,8
DM030720200,0,0,0,35,5.5,7,34.18748,0.47331,1218,2,-888,1,-888,4
DM030720201,0,0,0,137,6,7,34.18223,0.49209,1181,1,-888,1,30,9
DM030720202,0,0,0,131.5,6,7,34.18937,0.47523,1221,1,5,1,60,5
DM030720203,0,0,0,131,5,7,34.17515,0.48964,1189,1,6,2,72,6
DM030720204,0,0,0,131,4,7,34.17957,0.49608,1172,1,-888,2,60,11
DM030720205,0,0,0,130,4,7,34.18124,0.48803,1190,1,-888,3,84,10
DM030720206,0,0,0,145,6,7,34.18067,0.48701,1190,2,-888,2,36,11
DM030720207,0,0,1,137.5,4,7,34.1743,0.4836,1188,2,-888,3,58,11
DM030720208,0,0,0,154,8,7,34.17798,0.46785,1235,2,-888,4,72,6
DM030820211,0,0,0,119.5,5,8,34.19325,0.3676,1216,1,4,1,12,4
DM030820212,0,0,0,140,6,8,34.18235,0.36111,1225,1,-888,3,48,7
DM030820213,0,0,0,133,5,8,34.18067,0.36075,1222,1,-888,3,12,7
DM030820214,0,0,0,150,6,8,34.17741,0.36392,1216,2,-888,1,12,5
DM030820215,0,0,0,123.5,4,8,34.19594,0.36767,1189,2,-888,1,24,3
